objectID,name,brand
4275000,Apple - Apple Watch™ 38mm Stainless Steel Case - Milanese Loop,Apple
6848136,Apple - EarPods™ with Remote and Mic - White,Apple
7007004,Apple - Lightning-to-VGA Adapter - White,Apple
7814097,Apple - Mac mini - Intel Core i5 (1.4GHz) - 4GB Memory - 500GB Hard Drive - White,Apple
1581921,"Apple - MacBook Air® (Latest Model) - 13.3"" Display - Intel Core i5 - 4GB Memory - 128GB Flash Storage - Silver",Apple
1581903,"Apple - MacBook Air® (Latest Model) - 13.3"" Display - Intel Core i5 - 4GB Memory - 256GB Flash Storage - Silver",Apple
2156175,Apple® - Leather Case for Apple® iPhone® 5 and 5s - Black,Apple®
1551069,Apple® - USB Cable Adapter - White,Apple®
4608018,Ballistic - Tungsten Tough Case for Apple® iPhone® 6 - Gray/Black,Ballistic
3256335,Black & Decker - 6-Cup Rice Cooker & Steamer - White,Black & Decker
9146007,Chef Buddy - 15-Oz. Self-Stirring Mug - Silver/Black,Chef Buddy
1581597,Cuisinart - 5-Piece Stainless-Steel Tool Set - Stainless-Steel,Cuisinart
1750257,Cynthia Vincent - Case for Apple® iPhone® 6 Plus and 6s Plus - Blue,Cynthia Vincent
9142065,Danby - 2.6 Cu. Ft. Compact Refrigerator - Black,Danby
9142056,Danby - 4.4 Cu. Ft. Compact Refrigerator - Black,Danby
9142038,Danby - 4.4 Cu. Ft. Compact Refrigerator - White,Danby
9453609,DeLonghi - Electric Skillet - Black,DeLonghi
8074341,Dynex™ - Case for Apple® iPhone® 5s - Big Stripes,Dynex™
2040156,Dynex™ - Case for Apple® iPhone® 6 - Black/Gold,Dynex™
9045045,Frigidaire - 20.4 Cu. Ft. Top-Freezer Refrigerator - Stainless-Steel,Frigidaire
2557152,GE - Profile Series 1.1 Cu. Ft. Mid-Size Microwave - Black-on-Black,GE
1908054,Griffin Technology - PowerBlock Wall Charger and PowerJolt Vehicle Charger for Most Lightning-Enabled Apple® Devices - Black,Griffin Technology
8093187,Griffin Technology - Reveal Hard Shell Case for Apple® iPhone® 6 - Hot Pink,Griffin Technology
9161046,Hamilton Beach - 12-Cup Deep Fryer - Stainless-Steel,Hamilton Beach
9283158,Hamilton Beach - 5-1/2-Quart Digital Steamer - Silver/Black,Hamilton Beach
7098714,Hamilton Beach - 6-Quart Slow Cooker - Black,Hamilton Beach
3726297,Hamilton Beach - Belgian Flip Waffle Maker - Stainless-Steel,Hamilton Beach
4902057,Hamilton Beach - Brewer - Stainless,Hamilton Beach
9283419,Hamilton Beach - FlexBrew Single-Serve Coffeemaker - Red,Hamilton Beach
5597298,Honeywell - AirGenius 5 Air Cleaner/Odor Reducer - Black,Honeywell
9351612,Hoover - 50 oz. Platinum Collection Professional Strength Carpet and Upholstery Detergent - Blue/Black,Hoover
3073023,Hoover - WindTunnel 2 Bagless Pet Upright Vacuum - Purple,Hoover
2264112,iFrogz - Bullfrogz Case for Apple® iPod® touch 5th Generation - Pink,iFrogz
1259226,"Insignia™ - 9"" Table Fan - Red",Insignia™
7186005,Isaac Mizrahi New York - Color Block Case for Apple® iPhone® 5 and 5s - Light Pink/Gold,Isaac Mizrahi New York
4431933,JACK SPADE - Wrap Case for Apple® iPhone® 6 Plus and 6s Plus - Navy,JACK SPADE
1736055,kate spade new york - Folio Case for Apple® iPad® Air 2 - Pink,kate spade new york
8377002,kate spade new york - Folio Hard Case for Apple® iPad® Air - Emperor Blue,kate spade new york
5147253,Keurig - Rivo Lavazza Classico Espresso Cups (18-Pack) - Multi,Keurig
5694093,"KitchenAid - 24"" Tall Tub Built-In Dishwasher - Stainless Steel",KitchenAid
7771878,KitchenAid - Artisan Series Tilt-Head Stand Mixer - Cobalt Blue,KitchenAid
8813043,KitchenAid - Professional 600 Series Stand Mixer - Espresso,KitchenAid
8216064,LG - 1.5 Cu. Ft. Mid-Size Microwave - Stainless Steel,LG
3546018,LG - 2.0 Cu. Ft. Over-the-Range Microwave - Stainless-Steel,LG
8240112,"LG - 30"" Self-Cleaning Freestanding Double Oven Gas Range - Stainless Steel",LG
6577443,"LG - 30"" Self-Cleaning Freestanding Gas Range - Stainless Steel",LG
4583106,LifeProof - FRE for Apple® iPhone® 6 and 6s - Black,LifeProof
9483174,Logitech - Type+ Bluetooth Keyboard Case for Apple® iPad® Air 2 - Violet,Logitech
3571002,mophie - juice pack air External Battery Case for Apple® iPhone® 5 and 5s - Gold,mophie
7166457,Mr. Coffee - Single-Cup Coffeemaker - Black,Mr. Coffee
1750248,Nanette Lepore - Case for Apple® iPhone® 6 Plus and 6s Plus - Multicolor,Nanette Lepore
1099053,NewAir - Water Dispenser - White,NewAir
7776009,Ninja - Nutri Ninja 72-Oz. Blender Duo with Auto IQ - Black/Silver,Ninja
2722014,"Pioneer - 7"" - CD/DVD - Built-In Bluetooth - Built-in HD Radio - Android Auto - Apple® CarPlay - In-Dash Receiver - Multi",Pioneer
4330827,Pioneer - CD - Built-In Bluetooth - Apple® iPod®-Ready - In-Dash Deck with Detachable Faceplate and Remote - Blue,Pioneer
4351410,Platinum - Holster Case for Apple® iPhone® 6 Plus and 6s Plus - Blue,Platinum
1984059,Platinum Series - Case for Apple® iPhone® 5c - Black,Platinum Series
1984068,Platinum Series - Kickstand Case for Apple® iPhone® 5c - Black,Platinum Series
6632253,Platinum Series - Kickstand Case with Holster for Apple® iPhone® 5 and 5s - Black,Platinum Series
4126131,Samsung - 24.5 Cu. Ft. Side-by-Side Refrigerator with Thru-the-Door Ice and Water - Stainless-Steel,Samsung
4639014,"Samsung - 30"" Self-Cleaning Freestanding Electric Convection Range - Stainless Steel",Samsung
7600005,"Samsung - Chef Collection Flex Duo 30"" Self-Cleaning Slide-In Double Oven Electric Convection Induction Range - Stainless Steel",Samsung
9078525,Smart Choice - 4' Rubber Washer Hose (2-Pack) Required for Hook-Up - Black,Smart Choice
2794086,SodaStream - 1-Liter Carbonating Bottles (2-Pack) - Black,SodaStream
4447800,Speck - CandyShell Case for Apple® iPhone® 6 and 6s - Clear,Speck
9292293,Speck - CandyShell Grip Case for Apple® iPod® touch 5th Generation - Raspberry Pink/Black,Speck
4215501,Speck - Luxury Inked Case for Apple® iPhone® 6 and 6s - Pink/White,Speck
1883376,"Speck - SeeThru Case for 13"" Apple® MacBook Air® - Black",Speck
3866013,"Speck - SeeThru Satin Case for 15"" Apple® MacBook® Pro with Retina display - Black",Speck
7815096,"Apple - 27"" iMac® with Retina 5K display - Intel Core i5 (3.2GHz) - 8GB Memory - 1TB Hard Drive - Silver",Apple
4276800,Apple - Apple Watch™ Magnetic Charging Cable (1 m) - White,Apple
4265802,Apple - iPad mini 4 Wi-Fi 128GB - Gold,Apple
7576047,Apple - iPad® mini 2 with Wi-Fi + Cellular - 16GB - (AT&T) - Silver,Apple
4561443,Apple - iPhone® 6s Leather Case - Brown,Apple
